出現形	正解	予測
副腎原発神経芽腫	副腎神経芽腫	副腎神経芽腫
Ｗｅｎｃｋｅｂａｃｈ型房室ブロック	ウェンケバッハ型第２度房室ブロック	
痰貯留多	喀痰	喀痰
皮膚リンパ腫	菌状息肉症	リンパ腫
個細胞壊死	壊死	壊死
左大腿骨顆上骨折	大腿骨外顆骨折	大腿骨顆上骨折
病原性大腸菌Ｏ−１５７感染性腸炎	病原性大腸菌感染症	病原性大腸菌感染症
口腔粘膜浮腫	浮腫	口腔粘膜炎
腟粘膜発赤	発赤	発赤
レム睡眠行動異常症	レム睡眠行動障害	レム睡眠行動障害
閉塞性膵炎	膵炎	膵炎
脱髄性疾患	脱髄疾患	脱髄疾患
多発性脾膿瘍	脾膿瘍	脾膿瘍
間質性肺水腫	肺水腫	肺水腫
無動性無言	無動性無言症	無動性無言症
舌扁平上皮癌	舌癌	舌癌
両側肺門部浸潤影	胸部異常陰影	胸部異常陰影
軽度悪心	悪心	悪心
慢性活動性ＥＢウルス感染症	ＥＢウイルス感染症	慢性腸炎
蛋白尿減少	蛋白尿	蛋白尿
脳障害	脳症	脳症
中心性奬液性網脈絡膜症	中心性漿液性網脈絡膜症	中心性網脈絡膜炎
左一側性反回神経麻痺	一側性反回神経麻痺	一側性反回神経麻痺
イレウス様	イレウス	イレウス
膵炎併発	膵炎	膵炎
ｈｅｍｏｐｈａｇｏｃｙｔｉｃ　ｓｙｎｄｒｏｍｅ	血球貪食症候群	
抗癌剤漏出	薬剤漏出性皮膚障害	
水痘帯状疱疹	帯状疱疹	帯状疱疹
ｓｙｓｔｅｍｉｃ　ｍａｓｔｏｃｙｔｏｓｉｓ	肥満細胞腫症	
発汗多量	多汗症	発汗障害
早発黄疸	早発性黄疸	早発性黄疸
急性細菌性気管支炎	急性気管支炎	急性気管支炎
右上葉肺小細胞癌	上葉肺大細胞癌	肺癌
腟癌１期	腟癌	腟癌
会陰部発赤	発赤	発赤
嚥下時痛軽度	嚥下痛	嚥下痛
左顔面血管腫	顔面血管腫	顔面血管腫
鼻汁多く	鼻汁	鼻汁
口腔内出血痕	口腔出血	出血
ＳＩＡＤ	抗利尿ホルモン不適合分泌症候群	腸疾患
夜両足痛	足痛	低血圧症
左後頭葉梗塞	脳梗塞	脳梗塞
左内眼角基底細胞癌	眼角基底細胞癌	
難治性イレウス	イレウス	イレウス
副鼻腔腫瘍	鼻副鼻腔腫瘍	副鼻腔癌
大腸菌菌血症	菌血症	菌血症
右前頭葉出血	脳出血	脳出血
左膝部痛	膝窩部痛	膝窩部痛
仙椎陳旧性骨折	陳旧性骨折	仙骨骨折
乳癌既往	乳癌	乳癌
軽度咽頭発赤	咽頭発赤	咽頭発赤
痙攣起	痙攣	痙攣
下肢浮腫圧痕	下肢浮腫	下肢浮腫
左側頬部腫脹	頬部腫脹	頬部腫脹
心室中隔穿孔	心室中隔欠損症	心膜炎
四肢浮腫軽度	四肢浮腫	四肢浮腫
大腸ポリープ　ポリペク後	大腸ポリープ	大腸ポリープ
腰椎椎体椎間板炎	腰椎椎間板炎	腰椎椎間板炎
左下葉肺炎悪化	大葉性肺炎	肺炎
ぼんやり感持続	反応性低下	
右鼠径部痛	鼡径部痛	鼡径部痛
皮疹不変	発疹	発疹
創部痛	術創部痛	疼痛
軽度右気胸	気胸	気胸
腸閉塞歴	イレウス	せん妄
左大腿骨骨折	大腿骨骨折	大腿骨骨折
紅斑局面多発	紅斑症	紅斑症
下部進行食道癌	食道癌	下部食道癌
無γグロブリン血症	無ガンマグロブリン血症	
子宮頸管ポリープ切除	子宮頚管ポリープ	子宮頚管ポリープ
手首疼痛	疼痛	疼痛
ｓｐｌｅｎｉｃ　ｍａｒｇｉｎａｌ　ｚｏｎｅ　ｌｙｍｐｈｏｍａ	脾辺縁帯リンパ腫	
体動時息ぎれ	労作時呼吸困難	呼吸困難
一部浮腫	浮腫	浮腫
ふらつき注意	よろめき歩行	めまい症
左中耳炎	中耳炎	中耳炎
胃食道逆流症状	胃食道逆流症	胃食道逆流症
両側卵巣子宮内膜症性嚢胞	卵巣子宮内膜症のう胞	卵巣子宮内膜症のう胞
新出肝転移	転移性肝癌	肝癌
脊椎カリエス	脊椎結核	脊椎結核
行動障害	素行障害	精神病
妊娠性糖尿病	妊娠糖尿病	妊娠糖尿病
小豆大紅斑	紅斑症	紅斑症
ＦＳＧＳ	巣状糸球体硬化症	ウイルス性腸炎
左寛骨臼骨折	寛骨臼骨折	寛骨臼骨折
原発性両眼内悪性リンパ腫	眼窩悪性リンパ腫	眼窩悪性リンパ腫
腹腔鏡補助下子宮筋腫核	子宮筋腫	子宮筋腫
両下肢静脈血栓	下肢静脈血栓症	下肢静脈血栓症
神経根障害	神経根炎	神経根炎
クモ膜下出血	くも膜下出血	くも膜下出血
後鼻汁症候群	後鼻漏	腎炎
糖尿病性腎症１期	腎性糖尿	糖尿病性腎症
左臀部慢性膿皮症	慢性膿皮症	慢性膿皮症
メサンギウム増殖性腎炎	メサンギウム増殖性糸球体腎炎	メサンギウム増殖性糸球体腎炎
左前頭葉心原性脳梗塞	心原性脳塞栓症	左心低形成症候群
閉塞性尿路感染	尿路感染症	尿路感染症
顔面蝶形紅斑	ＬＥ蝶形皮疹	
上行結腸癌肝転移	転移性肝癌	上行結腸癌
仙骨部色素沈着	色素異常症	色素異常症
肥満糖尿病	糖尿病	糖尿病
左肩痛み	肩部筋痛	肩部痛
ＰＳＶＴ発作	発作性上室頻拍	上室頻拍
